National Dex #,Location Black,Location White,Location Black 2,Location White 2
140,Fossil from Twist Mountain,Fossil from Twist Mountain,Fossil from Twist Mountain,Fossil from Twist Mountain
141,Evolution,Evolution,Evolution,Evolution
142,Fossil from Twist Mountain,Fossil from Twist Mountain,Fossil from Twist Mountain,Fossil from Twist Mountain
143,Evolution,Evolution,Trade in Nimbasa City,Trade in Nimbasa City
144,Trade,Trade,Trade,Trade
145,Trade,Trade,Trade,Trade
146,Trade,Trade,Trade,Trade
147,Dragonspiral Tower,Dragonspiral Tower,Dragonspiral Tower,"Dragonspiral Tower, Sangi Town (Gift)"
148,Dragonspiral Tower,Dragonspiral Tower,Dragonspiral Tower,Dragonspiral Tower
149,Dragonspiral Tower,Dragonspiral Tower,Dragonspiral Tower; Route 18 (Hidden Hole),Dragonspiral Tower; Route 18 (Hidden Hole)
150,Trade,Trade,Trade,Trade
151,Trade,Trade,Trade,Trade
152,Trade,Trade,Trade,Trade
153,Trade,Trade,Trade,Trade
154,Trade,Trade,Trade,Trade
155,Trade,Trade,Trade,Trade
156,Trade,Trade,Trade,Trade
157,Trade,Trade,Trade,Trade
158,Trade,Trade,Trade,Trade
159,Trade,Trade,Trade,Trade
160,Trade,Trade,Trade,Trade
161,Route 7 (Swarm),Route 7 (Swarm),Breeding,Breeding
162,Evolution,Evolution,Route 7 (Swarm),Route 7 (Swarm)
163,Breeding,Breeding,Breeding,Breeding
164,Abundant Shrine,Abundant Shrine,Nature Sanctuary,Nature Sanctuary
165,Breeding,Breeding,Trade,Breeding
166,Dreamyard,Dreamyard,Trade,Route 22 (Swarm)
167,Dreamyard,Dreamyard,Route 22 (Swarm),Trade
168,Breeding,Breeding,Breeding,Trade
169,Route 13,Giant Chasm,Dreamyard,Dreamyard
170,"Route 18, Driftveil City","Route 18, Driftveil City",Undella Bay,Undella Bay
171,Driftveil City,Driftveil City,Undella Bay,Undella Bay
172,Trade,Trade,Trade,Trade
173,Breeding,Breeding,Breeding,Breeding
174,Breeding,Breeding,Breeding,Breeding
175,Trade,White Forest,Trade in Nimbasa City,Trade in Nimbasa City
176,Trade,Evolution,Trade,Trade
177,Trade,Trade,Route 5 (Swarm),Route 5 (Swarm)
178,Trade,Trade,Evolution,Evolution
179,Trade,White Forest,Sangi Ranch,Sangi Ranch
180,Trade,Evolution,Evolution,Evolution
181,Trade,Evolution,Evolution,Evolution
182,Trade,Evolution,Trade,Trade
183,Trade,Evolution,"Routes 6, 11, 20, 22, Sangi Ranch, Relic Path, Village Bridge, Victory Road, Abundant Shrine, Pinwheel Forest","Routes 6, 11, 20, 22, Sangi Ranch, Relic Path, Village Bridge, Victory Road, Abundant Shrine, Pinwheel Forest"
184,Trade,Evolution,"Routes 6, 11, 20, 22, Sangi Ranch, Relic Path, Village Bridge, Victory Road, Abundant Shrine, Pinwheel Forest","Routes 6, 11, 20, 22, Sangi Ranch, Relic Path, Village Bridge, Victory Road, Abundant Shrine, Pinwheel Forest"
185,Trade,Trade,Route 20 (Swarm),Trade
186,Route 6,Route 6,"Routes 6, 19, 20, Sangi Ranch, Lostlorn Forest, Victory Road","Routes 6, 19, 20, Sangi Ranch, Lostlorn Forest, Victory Road"
187,Trade,White Forest,Route 18 (Swarm),Route 18 (Swarm)
188,Trade,Evolution,Evolution,Evolution
189,Trade,Evolution,Evolution,Evolution
190,Trade,Trade,Breeding,Breeding
191,Route 12,Route 12,Route 20,Route 20
192,Route 12,Route 12,Evolution,Evolution
193,Route 14 (Swarm),Route 14 (Swarm),"Route 3, Pinwheel Forest","Route 3, Pinwheel Forest"
194,Trade,White Forest,Breeding,Breeding
195,Trade,Evolution,Route 8 (Swarm),Route 8 (Swarm)
196,Trade,Trade,Evolution,Evolution
197,Trade,Trade,Evolution,Evolution
198,Abundant Shrine,Trade,Pinwheel Forest (Hidden Hole),Pinwheel Forest (Hidden Hole)
199,Abundant Shrine,Abundant Shrine,Evolution,Evolution
200,Trade,Abundant Shrine,Trade,Trade
201,Trade,Trade,Trade,Trade
202,Evolution,Evolution,Trade in Nimbasa City,Trade in Nimbasa City
203,Trade,Trade,Nature Sanctuary,Nature Sanctuary
204,Route 16 (Swarm),Route 16 (Swarm),Route 16 (Swarm),Route 16 (Swarm)
205,Evolution,Evolution,Evolution,Evolution
206,Route 12,Route 12,"Routes 1, 2, 6, 12, 18, 20, Sangi Ranch, Village Bridge, Dreamyard, Nature Sanctuary","Routes 1, 2, 6, 12, 18, 20, Sangi Ranch, Village Bridge, Dreamyard, Nature Sanctuary"
207,"Routes 11, 15","Routes 11, 15","Routes 11, 15, 23","Routes 11, 15, 23"
208,Evolution,Evolution,"Clay Road, Twist Mountain","Clay Road, Twist Mountain"
209,Trade,Trade,Breeding,Breeding
210,Trade,Trade,Route 2 (Hidden Hole),Route 2 (Hidden Hole)
211,"Routes 17, 18, P2 Laboratory","Routes 17, 18, P2 Laboratory","Route 4, Virbank City, Virbank Complex, P2 Laboratory","Route 4, Virbank City, Virbank Complex, P2 Laboratory"
212,Trade,Trade,Trade,Trade
213,Route 14,Route 14,Seaside Cave,Seaside Cave
214,Route 12,Route 12,"Route 12, Lostlorn Forest",Trade
215,Giant Chasm,Giant Chasm,Giant Chasm,Giant Chasm
216,Trade,Trade,Trade in Nimbasa City,Trade in Nimbasa City
217,Trade,Trade,Evolution,Evolution
218,Trade,Trade,Trade,Trade
219,Trade,Trade,Trade,Trade
220,Breeding,Breeding,Breeding,Breeding
221,Giant Chasm,Giant Chasm,Giant Chasm,Giant Chasm
222,"Route 13, Undella Town","Route 13, Undella Town",Seigaiha City; Route 18 (Hidden Hole),Seigaiha City; Route 18 (Hidden Hole)
223,"Undella Town, Undella Bay","Undella Town, Undella Bay","Route 21, Undella Bay","Route 21, Undella Bay"
224,"Undella Town, Undella Bay","Undella Town, Undella Bay","Route 21, Undella Bay","Route 21, Undella Bay"
225,Giant Chasm,Giant Chasm,"Route 22, Giant Chasm","Route 22, Giant Chasm"
226,"Undella Town, Undella Bay","Undella Town, Undella Bay","Route 21 (All Seasons); Undella Bay (Spring, Summer, Autumn)","Route 21 (All Seasons); Undella Bay (Spring, Summer, Autumn)"
227,Trade,Trade,Reverse Mountain,Reverse Mountain
228,Route 9 (Swarm),Trade,Trade,Trade
229,Evolution,Trade,Trade,Trade
230,"Routes 17, 18, P2 Laboratory","Routes 17, 18, P2 Laboratory","Routes 17, 18, P2 Laboratory","Routes 17, 18, P2 Laboratory"
231,Trade,Trade,Trade in Nimbasa City,Trade in Nimbasa City
232,Trade,Trade,Evolution,Evolution
233,Trade,Evolution,Trade,Trade
234,Abundant Shrine,Abundant Shrine,Trade,Trade
235,Route 5 (Swarm),Route 5 (Swarm),Trade,Trade
236,Route 10 (Swarm),Route 10 (Swarm),Trade,Trade
237,Evolution,Evolution,Trade,Trade
238,Breeding,Breeding,Trade,Trade
239,Trade,White Forest,Trade,Virbank Complex
240,Trade,White Forest,Virbank Complex,Trade
241,Trade,Trade,Trade,Trade
242,Trade,Evolution,Evolution,Evolution
243,Trade,Trade,Trade,Trade
244,Trade,Trade,Trade,Trade
245,Trade,Trade,Trade,Trade
246,Breeding,Breeding,Breeding,Breeding
247,Route 15,Route 15,Route 15,Route 15
248,Route 15,Route 15,Route 15,Route 15
249,Trade,Trade,Trade,Trade
250,Trade,Trade,Trade,Trade
251,Trade,Trade,Trade,Trade
252,Trade,Trade,Trade,Trade
253,Trade,Trade,Trade,Trade
254,Trade,Trade,Trade,Trade
255,Trade,Trade,Trade,Trade
256,Trade,Trade,Trade,Trade
257,Trade,Trade,Trade,Trade
258,Trade,Trade,Trade,Trade
259,Trade,Trade,Trade,Trade
260,Trade,Trade,Trade,Trade
261,Trade,Route 9 (Swarm),Trade,Trade
262,Trade,Evolution,Trade,Trade
263,Trade,Trade,Trade,Trade
264,Trade,Trade,Trade,Trade
265,Trade,White Forest,Trade,Trade
266,Trade,Evolution,Trade,Trade
267,Trade,Evolution,Trade,Trade
268,Trade,Evolution,Trade,Trade
269,Trade,Evolution,Trade,Trade
270,Trade,White Forest,Breeding,Breeding
271,Trade,Evolution,Route 3 (Hidden Hole),Route 3 (Hidden Hole)
272,Trade,Evolution,Evolution,Evolution
273,Trade,White Forest,Breeding,Breeding
274,Trade,Evolution,Nature Sanctuary,Nature Sanctuary
275,Trade,Evolution,Nature Sanctuary,Nature Sanctuary
276,Breeding,Breeding,Breeding,Breeding
277,"Route 13, Giant Chasm","Route 13, Giant Chasm",Route 13 (Swarm),Route 13 (Swarm)
278,"Route 13, Undella Town, Undella Bay","Route 13, Undella Town, Undella Bay",Breeding,Breeding
279,"Route 13, Undella Town, Undella Bay","Route 13, Undella Town, Undella Bay","Routes 13, 22, Giant Chasm","Routes 13, 22, Giant Chasm"
280,Trade,White Forest,Trade in Nimbasa City,Trade in Nimbasa City
281,Trade,Evolution,Evolution,Evolution
282,Trade,Evolution,Evolution,Evolution
283,Trade,White Forest,Breeding,Breeding
284,Trade,Evolution,Route 11 (Swarm),Route 11 (Swarm)
285,Route 11 (Swarm),Trade,Breeding,Breeding
286,Evolution,Trade,Pinwheel Forest (Hidden Hole),Pinwheel Forest (Hidden Hole)
287,Trade,White Forest,Breeding,Breeding
288,Trade,Evolution,Pinwheel Forest,Pinwheel Forest
289,Trade,Evolution,Pinwheel Forest,Pinwheel Forest
290,Trade,Trade,Trade,Trade
291,Trade,Trade,Trade,Trade
292,Trade,Trade,Trade,Trade
293,Trade,White Forest,Trade,Trade
294,Trade,Evolution,Trade,Trade
295,Trade,Evolution,Trade,Trade
296,Trade,Trade,Breeding,Breeding
297,Trade,Trade,Pinwheel Forest (Hidden Hole),Pinwheel Forest (Hidden Hole)
298,Trade,White Forest,"Route 20, Sangi Ranch","Route 20, Sangi Ranch"
299,Trade,Trade,"Chargestone Cave, Clay Road; Route 6 (Hidden Hole)","Chargestone Cave, Clay Road; Route 6 (Hidden Hole)"
300,Trade,Trade,Trade,Castelia City
301,Trade,Trade,Trade,Castelia City
302,Challenger's Cave,Challenger's Cave,Trade in Nimbasa City,Trade in Nimbasa City
303,Challenger's Cave,Challenger's Cave,Trade in Nimbasa City,Trade in Nimbasa City
304,Trade,White Forest,Mistralton Cave,Mistralton Cave
305,Trade,Evolution,Clay Road,Clay Road
306,Trade,Evolution,Evolution,Evolution
307,Trade,Trade,Breeding,Breeding
308,Trade,Trade,Pinwheel Forest (Hidden Hole),Pinwheel Forest (Hidden Hole)
309,Trade,Trade,Breeding,Breeding
310,Trade,Trade,Route 3 (Hidden Hole),Route 3 (Hidden Hole)
311,Route 6 (Swarm),Trade,Route 6 (Swarm),Trade
312,Trade,Route 6 (Swarm),Trade,Route 6 (Swarm)
313,Route 3 (Swarm),Trade,Route 3 (Swarm),Trade
314,Trade,Route 3 (Swarm),Trade,Route 3 (Swarm)
315,Trade,Evolution,"Route 12, Lostlorn Forest, Victory Road","Route 12, Lostlorn Forest, Victory Road"
316,Trade,Trade,Breeding,Breeding
317,Trade,Trade,Route 9 (Swarm),Route 9 (Swarm)
318,Village Bridge,Village Bridge,Village Bridge,Village Bridge
319,Village Bridge,Village Bridge,Village Bridge,Village Bridge
320,"Undella Town, Undella Bay","Undella Town, Undella Bay",Undella Bay,Undella Bay
321,Undella Bay,Undella Bay,Undella Bay,Undella Bay
322,Trade,Trade,Trade,Reverse Mountain
323,Trade,Trade,Trade,Reverse Mountain
324,Trade,Trade,Trade,Trade
325,Trade,Trade,Reverse Mountain,Trade
326,Trade,Trade,Reverse Mountain,Trade
327,Trade,Trade,Trade in Nimbasa City,Trade in Nimbasa City
328,Trade,White Forest,"Desort Resort, Reverse Mountain","Desort Resort, Reverse Mountain"
329,Trade,Evolution,Reverse Mountain,Reverse Mountain
330,Trade,Evolution,Evolution,Evolution
331,Trade,Trade,Breeding,Breeding
332,Trade,Trade,Reverse Mountain (Swarm),Reverse Mountain (Swarm)
333,Breeding,Breeding,"Route 14, Abundant Shrine","Route 14, Abundant Shrine"
334,Route 14,Route 14,"Route 14 Abundant Shrine, Victory Road, Nature Sanctuary; Routes 6, 7, 23 (Hidden Holes)","Route 14 Abundant Shrine, Victory Road, Nature Sanctuary; Routes 6, 7, 23 (Hidden Holes)"
335,"Route 11, Village Bridge","Route 11, Village Bridge","Routes 7, 11, Village Bridge","Routes 7, 11, Village Bridge"
336,"Route 11, Village Bridge","Route 11, Village Bridge","Routes 7, 11, Village Bridge; Routes 7, 23 (Hidden Holes)","Routes 7, 11, Village Bridge; Routes 7, 23 (Hidden Holes)"
337,"Route 13, Giant Chasm","Route 13, Giant Chasm","Routes 13, 22, Giant Chasm","Routes 13, 22, Giant Chasm"
338,"Route 13, Giant Chasm","Route 13, Giant Chasm","Routes 13, 22, Giant Chasm","Routes 13, 22, Giant Chasm"
339,"Route 8, Moor of Icirrus, Icirrus City","Route 8, Moor of Icirrus, Icirrus City","Route 8, Moor of Icirrus, Icirrus City","Route 8, Moor of Icirrus, Icirrus City"
340,"Route 8, Moor of Icirrus, Icirrus City","Route 8, Moor of Icirrus, Icirrus City","Route 8, Moor of Icirrus, Icirrus City","Route 8, Moor of Icirrus, Icirrus City"
341,Trade,White Forest,"Route 3, Striaton City","Route 3, Striaton City"
342,Trade,Evolution,"Route 3, Striaton City","Route 3, Striaton City"
343,Breeding,Breeding,Relic Castle,Relic Castle
344,Relic Castle,Relic Castle,Evolution,Evolution
345,Fossil from Twist Mountain,Fossil from Twist Mountain,Fossil from Twist Mountain,Fossil from Twist Mountain
346,Evolution,Evolution,Evolution,Evolution
347,Fossil from Twist Mountain,Fossil from Twist Mountain,Fossil from Twist Mountain,Fossil from Twist Mountain
348,Evolution,Evolution,Evolution,Evolution
349,Route 1,Route 1,Route 1,Route 1
350,Route 1,Route 1,Route 1,Route 1
351,Trade,Trade,Route 6,Route 6
352,Trade,Trade,Nature Sanctuary,Nature Sanctuary
353,Route 13 (Swarm),Route 13 (Swarm),Breeding,Breeding
354,Evolution,Evolution,"Stranger's House, Victory Road","Stranger's House, Victory Road"
355,Trade,Trade,Trade,Trade
356,Trade,Trade,Trade,Trade
357,Route 14,Route 14,Route 18,Route 18
358,Abundant Shrine,Abundant Shrine,Trade,Trade
359,"Route 13, Giant Chasm","Route 13, Giant Chasm","Routes 13, 14; Route 23 (Hidden Hole)","Routes 13, 14; Route 23 (Hidden Hole)"
360,Route 2 (Swarm),Route 2 (Swarm),Breeding,Breeding
361,Trade,Trade,Trade,Trade
362,Trade,Trade,Trade,Trade
363,Undella Bay,Undella Bay,Undella Bay (Winter); Route 13 (Hidden Hole),Undella Bay (Winter); Route 13 (Hidden Hole)
364,Undella Bay,Undella Bay,Undella Bay (Winter),Undella Bay (Winter)
365,Undella Bay,Undella Bay,Undella Bay (Winter),Undella Bay (Winter)
366,Route 4,Route 4,Route 4,Route 4
367,Route 4,Evolution,Route 4,Evolution
368,Evolution,Route 4,Evolution,Route 4
369,Route 4,Route 4,Route 4,Route 4
370,"Routes 4, 13, Driftveil City, Undella Town, Undella Bay","Routes 4, 13, Driftveil City, Undella Town, Undella Bay","Routes 13, 21, Undella Town, Seigaiha City, Seaside Cave","Routes 13, 21, Undella Town, Seigaiha City, Seaside Cave"
371,Trade,White Forest,Pinwheel Forest (Hidden Hole),Pinwheel Forest (Hidden Hole)
372,Trade,Evolution,Evolution,Evolution
373,Trade,Evolution,Evolution,Evolution
374,Breeding,Breeding,Breeding,Breeding
375,Giant Chasm,Giant Chasm,Giant Chasm,Giant Chasm
376,Giant Chasm,Giant Chasm,Giant Chasm,Giant Chasm
377,Trade,Trade,Clay Road (One Available),Clay Road (One Available)
378,Trade,Trade,Key Trade,Clay Road (One Available)
379,Trade,Trade,Clay Road (One Available),Key Trade
380,Trade,Trade,Trade,Dreamyard (One Available)
381,Trade,Trade,Dreamyard (One Available),Trade
382,Trade,Trade,Trade,Trade
383,Trade,Trade,Trade,Trade
384,Trade,Trade,Trade,Trade
385,Trade,Trade,Trade,Trade
386,Trade,Trade,Trade,Trade
387,Trade,Trade,Trade,Trade
388,Trade,Trade,Trade,Trade
389,Trade,Trade,Trade,Trade
390,Trade,Trade,Trade,Trade
391,Trade,Trade,Trade,Trade
392,Trade,Trade,Trade,Trade
393,Trade,Trade,Trade,Trade
394,Trade,Trade,Trade,Trade
395,Trade,Trade,Trade,Trade
396,Trade,White Forest,Trade,Trade
397,Trade,Evolution,Trade,Trade
398,Trade,Evolution,Trade,Trade
399,Breeding,Breeding,Breeding,Breeding
400,Village Bridge,Village Bridge,Route 3 (Hidden Hole),Route 3 (Hidden Hole)
401,Breeding,Breeding,Trade,Trade
402,Dreamyard,Dreamyard,Trade,Trade
403,Trade,White Forest,Trade,Trade
404,Trade,Evolution,Trade,Trade
405,Trade,Evolution,Trade,Trade
406,Trade,White Forest,Breeding,Breeding
407,Trade,Evolution,"Route 12, Lostlorn Forest, Victory Road","Route 12, Lostlorn Forest, Victory Road"
408,Fossil from Twist Mountain,Fossil from Twist Mountain,"Fossil from Twist Mountain, Trade from Nimbasa City","Fossil from Twist Mountain, Trade from Nimbasa City"
409,Evolution,Evolution,Evolution,Evolution
410,Fossil from Twist Mountain,Fossil from Twist Mountain,"Fossil from Twist Mountain, Trade in Nimbasa City","Fossil from Twist Mountain, Trade in Nimbasa City"
411,Evolution,Evolution,Evolution,Evolution
412,Trade,Trade,Trade,Trade
413,Trade,Trade,Trade,Trade
414,Trade,Trade,Trade,Trade
415,Route 12,Route 12,"Route 12, Lostlorne Forest","Route 12, Lostlorne Forest"
416,Route 12,Route 12,"Route 12, Lostlorn Forest","Route 12, Lostlorn Forest"
